Electoral_Dist,Year,Poll_Div,Poll_Station,Poll_Road,Poll_Location ,Census_Poll_Location,PNM,UNC,COP,TOP,STAR,NNV,John_IND,Rejected_Ballots,Tot_Ballots_Cast,Registered_Voters
Lopinot/Bon Air West,2010,,Arima North Secondary School,,Arima,ARIMA PROPER,265,0,161,0,,,,,,
Lopinot/Bon Air West,2010,,Arima North Secondary School,,Arima,ARIMA PROPER,212,0,100,0,,,,,,
Lopinot/Bon Air West,2010,,Arima North Secondary School,,Arima,ARIMA PROPER,231,0,128,0,,,,,,
Lopinot/Bon Air West,2010,,Arima North Secondary School,,Arima,ARIMA PROPER,264,0,170,0,,,,,,
Lopinot/Bon Air West,2010,,Arima North Secondary School,,Arima,ARIMA PROPER,222,0,137,0,,,,,,
Lopinot/Bon Air West,2010,,Arima North Secondary School,,Arima,ARIMA PROPER,270,0,158,0,,,,,,
Lopinot/Bon Air West,2010,,Arima North Secondary School,,Arima,ARIMA PROPER,141,0,115,0,,,,,,
Lopinot/Bon Air West,2010,,St. Finbar's Girls RC School,,Arouca,AROUCA,173,0,237,0,,,,,,
Lopinot/Bon Air West,2010,,St. Finbar's Girls RC School,,Arouca,AROUCA,128,0,354,0,,,,,,
Lopinot/Bon Air West,2010,,Arouca Government Primary School,,Arouca,AROUCA,84,0,211,0,,,,,,
Lopinot/Bon Air West,2010,,Arouca Government Primary School,,Arouca,AROUCA,181,0,151,0,,,,,,
Lopinot/Bon Air West,2010,,St. Finbar's Girls RC School,,Arouca,AROUCA,321,0,142,0,,,,,,
Lopinot/Bon Air West,2010,,St. Finbar's Girls RC School,,Arouca,AROUCA,314,0,168,0,,,,,,
Lopinot/Bon Air West,2010,,St. Finbar's Girls RC School,,Arouca,AROUCA,203,0,302,0,,,,,,
Lopinot/Bon Air West,2010,,St. Pius Arouca Boys RC School,,Arouca,AROUCA,168,0,198,0,,,,,,
Lopinot/Bon Air West,2010,,St. Pius Arouca Boys RC School,,Arouca,AROUCA,242,0,208,0,,,,,,
Lopinot/Bon Air West,2010,,St. Pius Arouca Boys RC School,,Arouca,AROUCA,124,0,207,0,,,,,,
Lopinot/Bon Air West,2010,,St. Pius Arouca Boys RC School,,Arouca,AROUCA,190,0,288,0,,,,,,
Arouca/Maloney ,2010,1815_01,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,256,0,73,0,0,0,3,1,333,1469
Arouca/Maloney ,2010,1815_02,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,225,0,101,0,0,0,1,0,327,
Arouca/Maloney ,2010,1815_03,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,255,0,58,0,0,0,2,1,316,
Arouca/Maloney ,2010,1816_01,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,187,0,113,0,0,0,0,3,303,939
Arouca/Maloney ,2010,1816_02,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,180,0,171,0,0,0,2,1,354,
