comm,Census_Poll_Location,community_orignial,male,female,total,African,Caucasian,Chinese,East Indian,Indigenous,Mixed_African_ East_Indian,Mixed _Other,Portuguese,Syrian_Lebanese,other_ethnic_ group,not_stated_ethncity,unknown_ethnicity ,ANGLICAN,BAPTIST _SPIRITUAL_SHOUTER _BAPTIST,BAPTIST ,HINDUISM,ISLAM,JEHOVAHS_WITNESS,METHODIST,PENTECOSTAL_EVANGELICAL_FULL GOSPEL,MORAVIAN,ORISHA,PRESBYTERIAN_CONGREGATIONAL,RASTAFARIAN,ROMAN_CATHOLIC,SEVEN_DAY_ADVENTIST,OTHER_RELIGION,NONE_RELIGION,NOT STATED_RELIGION,UNKNOWN _RELIGION
3406,CARAPO,3406 CARAPO,2511.184658,2438.330706,4949.515364,1120.129512,11.38343,18.213488,1877.127607,3.415029,549.819669,1172.49329,1.138343,1.138343,1.138343,193.51831,4949.515364,132.047788,265.233919,22.76686,835.543762,163.921392,87.652411,14.798459,1002.880183,0,35.288633,55.778807,1.138343,1394.470175,253.850489,47.810406,150.261276,486.072461,4949.515364
7302,CARATAL,7302 CARATAL,258.404315,242.467485,500.8718,75.13077,0,0,368.82378,0,19.351865,26.181935,0,0,0,11.38345,500.8718,2.27669,11.38345,2.27669,217.423895,22.7669,0,0,122.94126,0,1.138345,9.10676,5.691725,78.545805,3.415035,9.10676,3.415035,11.38345,500.8718
3101,CARENAGE,3101 CARENAGE,2816.270478,2808.302049,5624.572527,3660.923952,78.545943,26.181981,214.009236,1.138347,459.892188,843.515127,2.276694,1.138347,12.521817,324.428895,5624.572527,531.608049,327.843936,4.553388,15.936858,64.885779,134.324946,12.521817,630.644238,1.138347,171.890397,17.075205,34.15041,2072.929887,277.756668,136.60164,153.676845,1037.034117,5624.572527
3003,CARIB HOMES,3003 CARIB HOMES,273.20016,311.903516,585.103676,262.955154,3.415002,0,34.15002,0,43.256692,231.081802,0,0,0,10.245006,585.103676,37.565022,20.490012,2.276668,6.830004,6.830004,11.38334,11.38334,151.398422,0,3.415002,4.553336,0,218.560128,39.84169,4.553336,26.181682,39.84169,585.103676
4207,CARLSEN FIELD,4207 CARLSEN FIELD,2050.159345,1954.538365,4004.69771,1100.779615,0,0,1773.54151,6.83007,454.199655,367.685435,1.138345,0,11.38345,289.13963,4004.69771,150.26154,194.656995,6.83007,949.37973,218.56224,25.04359,13.66014,994.91353,0,14.798485,48.948835,12.521795,529.330425,167.336715,134.32471,62.608975,481.519935,4004.69771
6501,CARMICHAEL,6501 CARMICHAEL,68.30028,45.53352,113.8338,1.138338,0,1.138338,80.821998,0,13.660056,17.07507,0,0,0,0,113.8338,1.138338,0,0,64.885266,3.415014,0,0,11.38338,0,0,6.830028,0,22.76676,0,1.138338,2.276676,0,113.8338
9412,CARNBEE,9412 CARNBEE / ALL FIELD TRACE,594.434055,621.922335,1216.35639,927.72945,14.889485,4.58138,99.645015,0,75.59277,56.121905,0,1.145345,2.29069,34.36035,1216.35639,104.226395,58.412595,17.180175,24.052245,21.761555,16.03483,25.19759,298.935045,105.37174,3.436035,5.726725,0,112.24381,100.79036,130.56933,77.88346,114.5345,1216.35639
9305,CARNEGAGE,9305 CARNBEE / PATIENCE HILL,255.411935,250.830555,506.24249,435.2311,2.29069,0,5.726725,0,22.9069,9.16276,0,0,1.145345,29.77897,506.24249,69.866045,82.46484,1.145345,0,0,4.58138,6.87207,3.436035,36.65104,131.714675,0,4.58138,33.215005,43.52311,2.29069,36.65104,49.249835,506.24249
3327,CARONI VILLAGE,3327 CARONI VILLAGE,507.700978,491.764176,999.465154,72.853952,0,0,821.883646,1.138343,20.490174,58.055493,0,0,0,25.043546,999.465154,20.490174,0,3.415029,489.48749,143.431218,2.276686,0,77.407324,0,9.106744,13.660116,0,25.043546,11.38343,0,12.521773,191.241624,999.465154
3214,CASCADE,3214 CASCADE,1945.428187,2021.697168,3967.125355,1259.007358,351.747987,88.790754,293.692494,2.276686,194.656653,1352.351484,14.798459,14.798459,50.087092,344.917929,3967.125355,412.080166,64.885551,0,55.778807,56.91715,33.011947,18.213488,247.020431,3.415029,80.822353,64.885551,7.968401,2045.602371,102.45087,79.68401,175.304822,519.084408,3967.125355
